Language_ID,Text_ID,Sentence_Number,ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,OTC_ID,LGR_Conformance,Abbreviations
jama1261,01_Bahi_Yowao,11,jama1261a-01_Bahi_Yowao-a11,Titefebone titefebone kawiti faro.,ti-tefe-bone	ti-tefe-bone	ka-iti	faaro,2SG.POSS-food-INT.F	2SG.POSS-food-INT.F	COMIT-sit.NOM.F	that.F,"""Here is your food on the ground.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessor/possessor marker"", ""INT"": ""intentive"", ""COMIT"": ""comitative"", ""NOM"": ""nominative""}"
jama1261,01_Bahi_Yowao,12,jama1261a-01_Bahi_Yowao-a12,Yama tekitihi.,yama	ti-ka-iti-hi,thing(F)	2SG.S-COMIT-pick_up-IMP.F,"""You get it.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""COMIT"": ""comitative"", ""IMP"": ""imperative""}"
jama1261,01_Bahi_Yowao,13,jama1261a-01_Bahi_Yowao-a13,Yama soki ya titafibeya hinakaki aati toemetemoneni.,yama	soki	ya	ti-tafa-be-ya	hinakaki	a-ati	to-ha-hemete-mone-ni,thing(F)	be_dark.NOM	ADJU	2SG.S-eat-IMMED.F-now	3POSS.SG.grandmother(F)	DU.P-say	CH-AUX-FP.N.F-REP.F-BKG.F,"""Eat in the dark,"" his grandmother said.",,jama1261a,WORD_ALIGNED,"{""NOM"": ""nominative"", ""ADJU"": ""adjunct"", ""SG"": ""singular"", ""IMMED"": ""immediate"", ""POSS"": ""possessor/possessor marker"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding""}"
jama1261,01_Bahi_Yowao,14,jama1261a-01_Bahi_Yowao-a14,Faya hinakaki warabo nima hine yama hiri ni ya tafarari yama soki ya tafahari.,faya	hinakaki	warabo	nima	hi-ne	yama	hiri	ni	ya	tafa-ra-haari	yama	soki	ya	tafa-haari,so	3POSS.SG.grandmother(F)	ear.M	communicate_to	OC-AUX.M	thing(F)	catch_fire	AUX.NFIN	ADJU	eat-NEG-IP.E.M	thing(F)	be_dark.NOM	ADJU	eat-IP.E.M,"His grandmother spoke to him. He didn't eat in the light of a torch, he ate in the dark.",,jama1261a,WORD_ALIGNED,"{""POSS"": ""possessor/possessor marker"", ""SG"": ""singular"", ""OC"": ""O-construction marker"", ""AUX"": ""auxiliary"", ""NFIN"": ""non-finite"", ""ADJU"": ""adjunct"", ""NEG"": ""negative"", ""IP"": ""immediate past"", ""NOM"": ""nominative""}"
jama1261,01_Bahi_Yowao,15,jama1261a-01_Bahi_Yowao-a15,"Fa, fa fawebona fa ha ne, hinaka fabone hinakaki hekama hikawata nokobi ya.",faha	faha	fawa-hibona	faha	haa	ne	hinaka	faha-bone	hinakaki	hi-ka-ka-ma	hi-ka-wata	nokobi	ya,water(F)	water(F)	drink-INT.M	water(F)	call	AUX.M	3SG.POSS	water(F)-INT.F	3POSS.SG.grandmother(F)	OC-COMIT-come-back.F	OC-COMIT-be_located.LIST	door(F)	ADJU,"He called for water to drink, and his grandmother brought some water and set it at the door.",,jama1261a,WORD_ALIGNED,"{""INT"": ""intentive"", ""AUX"": ""auxiliary"", ""SG"": ""singular"", ""POSS"": ""possessor/possessor marker"", ""OC"": ""O-construction marker"", ""COMIT"": ""comitative"", ""LIST"": ""list construction"", ""ADJU"": ""adjunct""}"
jama1261,01_Bahi_Yowao,16,jama1261a-01_Bahi_Yowao-a16,"Bari ka ya fa kakiti ahi, fa fawebana.",bari	ka	ya	faha	ka-iti	ahi	faha	fawa-hibana,back	LOC	ADJU	water(F)	COMIT-pick_up.NOM	then	water(F)	drink-FUT.M,"He picked up the water behind him, to drink it.",,jama1261a,WORD_ALIGNED,"{""LOC"": ""locative"", ""ADJU"": ""adjunct"", ""COMIT"": ""comitative"", ""NOM"": ""nominative"", ""FUT"": ""future""}"
jama1261,01_Bahi_Yowao,17,jama1261a-01_Bahi_Yowao-a17,"Ye soko nawaha, Bai wawato toematamona amane me fanawiteba kanawanahari.",yehe	soko	na-waha	Bahi	wa-wato	to-ha-himata-mona	ama-ne	me	fanawi-tee-ba	kanawana-haari,hand	wash	AUX-change.LIST	Bahi(M)	DU.P-know	CH-AUX-FP.N.M-REP.M	SEC-BKG.M	3PL.O	women-HAB-FUT	teach-IP.E.M,He washed his hands. Bahi was afraid to look at anyone. He was teaching the girls.,,jama1261a,WORD_ALIGNED,"{""AUX"": ""auxiliary"", ""LIST"": ""list construction"", ""DU"": ""dual"", ""CH"": ""change of state"", ""FP"": ""far past"", ""REP"": ""reported"", ""SEC"": ""secondary verb"", ""BKG"": ""backgrounding"", ""PL"": ""plural"", ""HAB"": ""habitual"", ""FUT"": ""future"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,18,jama1261a-01_Bahi_Yowao-a18,Me te awateriya.,me	tee	awa-tee-ra-yahi,3PL.O	2PL.S	see-HAB-NEG-DIST.IMP.F,"""Don't look at them.""",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""HAB"": ""habitual"", ""NEG"": ""negative"", ""DIST"": ""distal"", ""IMP"": ""imperative""}"
jama1261,01_Bahi_Yowao,19,jama1261a-01_Bahi_Yowao-a19,Yama hiri ona te hiri tiyahi ati nematamonaka.,yama	hiri	o-na	tee	hiri	tee-yahi	ati	na-himata-mona-ka,thing(F)	do	1SG.S-say.F	2PL.S	do	HAB-DIST.IMP.F	say	AUX-FP.N.M-REP.M-DECL.M,"""You should do what I am doing in the future,"" he said.",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""PL"": ""plural"", ""HAB"": ""habitual"", ""DIST"": ""distal"", ""IMP"": ""imperative"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,20,jama1261a-01_Bahi_Yowao-a20,"Te ka abi me te awarihi, te ka ami me te awarihi, tiyahi te ka ayo mati.",tee	ka	abi	me	tee	awa-rihi	tee	ka	ami	me	tee	awa-rihi	tee-yahi	tee	ka	ayo	mati,2PL	POSS	father(M)	3PL.O	2PL.S	see-NEG.LIST	2PL	POSS	mother(F)	3PL.O	2PL.S	see-NEG.LIST	HAB-DIST.IMP.F	2PL	POSS	older_brother(M)	3PL,"""You shouldn't look at your father, your mother, your older brothers.""",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""POSS"": ""possessor/possessor marker"", ""NEG"": ""negative"", ""LIST"": ""list construction"", ""HAB"": ""habitual"", ""DIST"": ""distal"", ""IMP"": ""imperative""}"
jama1261,01_Bahi_Yowao,21,jama1261a-01_Bahi_Yowao-a21,Me te awateriya.,me	tee	awa-tee-ra-yahi,3PL.O	2PL.S	see-HAB-NEG-DIST.IMP.F,"""Don't look at them.""",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""HAB"": ""habitual"", ""NEG"": ""negative"", ""DIST"": ""distal"", ""IMP"": ""imperative""}"
jama1261,01_Bahi_Yowao,22,jama1261a-01_Bahi_Yowao-a22,"Te noko amari ene te ka ayo me tohateriya ati nematamonahane, aati toematamonaka.",tee	noko	ama-ri	ehene	tee	ka	ayo	me	to-ha-tee-ra-yahi	ati	na-himata-mona-ha-ne	a-ati	to-ha-himata-mona-ka,2PL.POSS	eye	be_bloody-PN	victim_of	2PL	POSS	older_brother(M)	3PL.S	CH-be-HAB-NEG-DIST.IMP.F	say	AUX-FP.N.M-REP.M-DU.P-BKG.M	DU.P-say	CH-AUX-FP.N.M-REP.M-DECL.M,"""Don't let your older brothers get sick because of the blood in your eyes,"" he said.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""POSS"": ""possessor/possessor marker"", ""PN"": ""person name"", ""CH"": ""change of state"", ""HAB"": ""habitual"", ""NEG"": ""negative"", ""DIST"": ""distal"", ""IMP"": ""imperative"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DU"": ""dual"", ""BKG"": ""backgrounding"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,23,jama1261a-01_Bahi_Yowao-a23,Yamata yamata e awarihi e tafaharo.,yamata	yamata	ee	awa-rihi	ee	tafa-haaro,food(F)	food(F)	1IN.S	see-NEG.LIST	1IN.S	eat-IP.E.F,"""We also should not look at our food when we eat.""",,jama1261a,WORD_ALIGNED,"{""IN"": ""inclusive"", ""NEG"": ""negative"", ""LIST"": ""list construction"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,24,jama1261a-01_Bahi_Yowao-a24,Sina hisi rihi.,sina	hisi	rihi,snuff(F)	sniff	NEG.LIST,"""We also should not take snuff.""",,jama1261a,WORD_ALIGNED,"{""NEG"": ""negative"", ""LIST"": ""list construction""}"
jama1261,01_Bahi_Yowao,25,jama1261a-01_Bahi_Yowao-a25,Fare home ya hohoma toematamonane.,fare	home	ya	ho-homa	to-ha-himata-mona-ne,same.M	lie_on_ground.NOM.M	ADJU	DU.P-lie_on_ground	CH-AUX-FP.N.M-REP.M-BKG.M,"He lay there in the same place, not leaving.",,jama1261a,WORD_ALIGNED,"{""NOM"": ""nominative"", ""ADJU"": ""adjunct"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding""}"
jama1261,01_Bahi_Yowao,26,jama1261a-01_Bahi_Yowao-a26,Fare home ya hohoma toematamonaka.,fare	home	ya	ho-homa	to-ha-himata-mona-ka,same.M	lie_on_ground.NOM.M	ADJU	DU.P-lie_on_ground	CH-AUX-FP.N.M-REP.M-DECL.M,He just lay there in the same place.,,jama1261a,WORD_ALIGNED,"{""NOM"": ""nominative"", ""ADJU"": ""adjunct"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,27,jama1261a-01_Bahi_Yowao-a27,"Aafi na toarematamonane, afi nawebanoho.",a-afi	na	to-ha-ra-himata-mona-ne	afi	na-waha-hiba-no-ho,DU.P-bathe.LIST	AUX	CH-AUX-NEG-FP.N.M-REP.M-BKG.M	bathe	AUX-change-FUT.M-IP.N.M-DU.P,He didn't take a bath while he was in seclusion. Finally he took a bath.,,jama1261a,WORD_ALIGNED,"{""DU"": ""dual"", ""LIST"": ""list construction"", ""AUX"": ""auxiliary"", ""CH"": ""change of state"", ""NEG"": ""negative"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding"", ""FUT"": ""future"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,28,jama1261a-01_Bahi_Yowao-a28,Hawa toe yokana ya wamisamakane ahi.,hawa	to-he	yokana	ya	waa-misa-ma-kane	ahi,be_finished	CH-AUX.NOM.M	true	ADJU	stand-up-back-(?).M	then,"When his menstruation was over, he got up.","The suffix -kani/-kane is an archaic mood suffix (Vogel 2022b:42f). Both Yowao and Siko use it in traditional stories, but it is not used by younger Jarawaras.",jama1261a,WORD_ALIGNED,"{""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""NOM"": ""nominative"", ""ADJU"": ""adjunct""}"
jama1261,01_Bahi_Yowao,29,jama1261a-01_Bahi_Yowao-a29,"Faya hiwa nanahato toematamonaka fahi, fara meteba mera kanawanari.",faya	hiwa	na-na-ato	to-ha-himata-mona-ka	fahi	fara	me-tee-ba	mera	kanawana-haari,so	3SG.REFL.M	DU.P-CAUS-be_decorated	CH-AUX-FP.N.M-REP.M-DECL.M	then	same.F	3PL-HAB-FUT	3PL.O	teach-IP.E.M,"He put on decorations, teaching the others.'",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""REFL"": ""reflexive"", ""DU"": ""dual"", ""CAUS"": ""causative"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative"", ""PL"": ""plural"", ""HAB"": ""habitual"", ""FUT"": ""future"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,30,jama1261a-01_Bahi_Yowao-a30,Bai Bahi Bahi e kosi na.,Bahi	Bahi	Bahi	ee	kosi	na,Bahi(M)	Bahi(M)	Bahi(M)	1IN.S	flail	AUX,"""Let's whip Bahi with switches.""",,jama1261a,WORD_ALIGNED,"{""IN"": ""inclusive"", ""AUX"": ""auxiliary""}"
jama1261,01_Bahi_Yowao,31,jama1261a-01_Bahi_Yowao-a31,Bai e kosi nahi.,Bahi	ee	kosi	na-hi,Bahi(M)	1IN.S	flail	AUX-IMP.F,"""Let's whip Bahi.""",,jama1261a,WORD_ALIGNED,"{""IN"": ""inclusive"", ""AUX"": ""auxiliary"", ""IMP"": ""imperative""}"
jama1261,01_Bahi_Yowao,32,jama1261a-01_Bahi_Yowao-a32,Owa te kosi nahi.,owa	tee	kosi	na-hi,1SG.O	2PL.S	flail	AUX-IMP.F,"""Whip me.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""PL"": ""plural"", ""AUX"": ""auxiliary"", ""IMP"": ""imperative""}"
jama1261,01_Bahi_Yowao,33,jama1261a-01_Bahi_Yowao-a33,Tera ki onofa ama oni ati nematamonane.,tera	kii	o-nofa	ama	o-ni	ati	na-himata-mona-ne,2PL.O	look_at	1SG.S-recently.F	SEC	1SG.S-BKG.F	say	AUX-FP.N.M-REP.M-BKG.M,"""I was looking at you all the time,"" he said.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""SG"": ""singular"", ""SEC"": ""secondary verb"", ""BKG"": ""backgrounding"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported""}"
jama1261,01_Bahi_Yowao,34,jama1261a-01_Bahi_Yowao-a34,"Me kosi hinehibona me wati hikane, me kosi hiwahematamonaka.",me	kosi	hi-na-hibona	me	wati	hi-ka-ne	me	kosi	hi--waha-himata-mona-ka,3PL.S	flail	OC-AUX-INT.M	3PL.S	plan_against	OC-COMIT-AUX.M	3PL.S	flail	OC--change-FP.N.M-REP.M-DECL.M,"They wanted to whip him, and they whipped him.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""OC"": ""O-construction marker"", ""AUX"": ""auxiliary"", ""INT"": ""intentive"", ""COMIT"": ""comitative"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,35,jama1261a-01_Bahi_Yowao-a35,"Me hawa hinihematamonaka Bahi, fara fara me fanawiteba kanawanahari.",me	hawa	hi-niha--himata-mona-ka	Bahi	fara	fara	me	fanawi-tee-ba	kanawana-haari,3PL.S	be_finished	OC-CAUS--FP.N.M-REP.M-DECL.M	Bahi(M)	same.F	same.F	3PL.O	women-HAB-FUT	teach-IP.E.M,"They had Bahi's coming out, he was teaching the girls.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""OC"": ""O-construction marker"", ""CAUS"": ""causative"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative"", ""HAB"": ""habitual"", ""FUT"": ""future"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,36,jama1261a-01_Bahi_Yowao-a36,"Me kosi hine kakafori toematamonane yamata wara torahari, yamata kabarari, tafarari fare fare kokosi kafimiari.",me	kosi	hi-ne	ka-ka-fori	to-ha-himata-mona-ne	yamata	wara	to--ra-haari	yamata	kaba-ra-haari	tafa-ra-haari	fare	fare	ko-kosi	ka-fimi-haari,3PL.S	flail	OC-AUX.M	DU.P-COMIT-lie_on_top	CH-AUX-FP.N.M-REP.M-BKG.M	food(F)	grab	CH--NEG-IP.E.M	food(F)	eat-NEG-IP.E.M	eat-NEG-IP.E.M	same.M	same.M	DU.P-flail	COMIT-be_hungry-IP.E.M,"They whipped him, and he lay there on the logs for a long time, not getting food, not eating food, not eating, because he had been whipped.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""OC"": ""O-construction marker"", ""AUX"": ""auxiliary"", ""DU"": ""dual"", ""COMIT"": ""comitative"", ""CH"": ""change of state"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding"", ""NEG"": ""negative"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,37,jama1261a-01_Bahi_Yowao-a37,Iisi na toematamona ahi.,i-isi	na	to-ha-himata-mona	ahi,DU.P-be_small.LIST	AUX	CH-AUX-FP.N.M-REP.M	then,He was really skinny.,,jama1261a,WORD_ALIGNED,"{""DU"": ""dual"", ""LIST"": ""list construction"", ""AUX"": ""auxiliary"", ""CH"": ""change of state"", ""FP"": ""far past"", ""REP"": ""reported""}"
jama1261,01_Bahi_Yowao,38,jama1261a-01_Bahi_Yowao-a38,Faya tatafama toematamonaka fahi.,faya	ta-tafa-ma	to-ha-himata-mona-ka	fahi,so	DU.P-eat-back	CH-AUX-FP.N.M-REP.M-DECL.M	then,Then he ate.,,jama1261a,WORD_ALIGNED,"{""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,39,jama1261a-01_Bahi_Yowao-a39,Faya bani tikaba.,faya	bani	ti-kaba,so	animal(M)	2SG.S-eat,"""You eat meat.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular""}"
jama1261,01_Bahi_Yowao,40,jama1261a-01_Bahi_Yowao-a40,Aba aba tikaba.,aba	aba	ti-kaba,fish.sp(M)	fish.sp(M)	2SG.S-eat,"""Eat aba fish.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular""}"
jama1261,01_Bahi_Yowao,41,jama1261a-01_Bahi_Yowao-a41,Aba okobeba awa.,aba	o-kaba-hiba	awa,fish.sp(M)	1SG.S-eat-FUT.M	seem.M,"""I'm going to eat aba fish.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""FUT"": ""future""}"
jama1261,01_Bahi_Yowao,42,jama1261a-01_Bahi_Yowao-a42,"Hiba, otafaba owa awine o.",hiba	o-tafa-haba	owa	awine	o,wait	1SG.S-eat-FUT.F	1SG.S	seem.F	1SG.S,"""Wait, I'm going to eat.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""FUT"": ""future""}"
jama1261,01_Bahi_Yowao,43,jama1261a-01_Bahi_Yowao-a43,"Me tatama toemetemone me amani Bahi me Bahi me mari kana mati, me tama me yoro tokana mati.",me	ta-tama	to-ha-hemete-mone	me	ama-ni	Bahi	me	Bahi	me	mari	ka-na	mati	me	tama	me	yoro	to-ka-na	mati,3PL.S	DU.P-be_many	CH-AUX-FP.N.F-REP.F	3PL.S	SEC-BKG.F	Bahi(M)	3PL	Bahi(M)	3PL.S	feast	COMIT-AUX.F	3PL.S	3PL.S	be_many.F	3PL.S	be_together	CH-COMIT-AUX.F	3PL.S,"There were lots of people at the feast for Bahi, all gathered together.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""SEC"": ""secondary verb"", ""BKG"": ""backgrounding"", ""COMIT"": ""comitative""}"
jama1261,01_Bahi_Yowao,44,jama1261a-01_Bahi_Yowao-a44,Hika me winateriya?,hika	me	wina-tee-ri-ya,where	3PL.S	live-HAB-CQ.F-now,Where did they live?,,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""HAB"": ""habitual"", ""CQ"": ""content question""}"
jama1261,01_Bahi_Yowao,45,jama1261a-01_Bahi_Yowao-a45,Me tamatama raba na toaremetemoneni.,me	tama-tama	raba	na	to-ha-ra-hemete-mone-ni,3PL.S	DU.P-be_many	a_bit	AUX	CH-AUX-NEG-FP.N.F-REP.F-BKG.F,There were a lot of people.,,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""DU"": ""dual"", ""AUX"": ""auxiliary"", ""CH"": ""change of state"", ""NEG"": ""negative"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding""}"
jama1261,01_Bahi_Yowao,46,jama1261a-01_Bahi_Yowao-a46,Bahi me kosi nemetemoneni.,Bahi	me	kosi	na-hemete-mone-ni,Bahi(M)	3PL.S	flail	AUX-FP.N.F-REP.F-BKG.F,They whipped Bahi.,,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding""}"
jama1261,01_Bahi_Yowao,47,jama1261a-01_Bahi_Yowao-a47,Me towinisawitewahine.,me	to-wina-risa-wite-waha-ne,3PL.S	away-live-down-out-change-CONT.F,They live downstream nowadays.,,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""CONT"": ""continuative""}"
