ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGRConformance
a16,Towawawitebona kose mati fito nakematamonaka ahi.,to-	waa	-waha	-wite	-hibona	kose_mati	fito	na	-ke	-himata	-mona	-ka	ahi,away-	stand	-change	-out	-INT.M	name_of_monster(M)	rush	AUX	-coming	-FP.N.M	-REP.M	-DECL.M	then,"He moved over to a different position, and the monster attacked him.",,WORD_ALIGNED
a17,Fito nake he watematamonaka ahi.,fito	na	-ke	hee	wata	-himata	-mona	-ka	ahi,rush	AUX	-coming	3SG.O	catch	-FP.N.M	-REP.M	-DECL.M	then,"It attacked, and caught him.",,WORD_ALIGNED
a18,"He wate fawa ne bete hikawe he towatamaki, he kakame he kakamematamonaka.",hee	wate	fawa	ne	bete	hi-	ka-	-wee	hee	to-	wata	-maki	hee	ka-	ka	-me	hee	ka-	ka	-ma	-himata	-mona	-ka,3SG.O	catch.M	disappear	AUX.M	run	OC-	COMIT-	-change.M	3SG.O	away-	catch	-following.M	3SG.O	COMIT-	come	-back.M	3SG.O	COMIT-	come	-back	-FP.N.M	-REP.M	-DECL.M,"It caught him. He got free, and ran away with it. It caught him again. It brought him back.",,WORD_ALIGNED
a19,"He kakame, hinaka hisiri itimetemone amake hisiri.",hee	ka-	ka	-me	hinaka	hisiri	iti	-hemete	-mone	ama	-ke	hisiri,3SG.O	COMIT-	come	-back.M	3SG.POSS	basket(F)	pick_up	-FP.N.F	-REP.F	SEC	-DECL.F	basket(F),It brought him back. It picked up its basket.,,WORD_ALIGNED
a20,"Hisiri ya hiberise wete hikane, wete hikane hiwa hiwa katomarematamonaka.",hisiri	ya	hi-	ibe	-rise	wete	hi-	ka-	ne	wete	hi-	ka-	ne	hiwa	hiwa	katoma	-ra	-himata	-mona	-ka,basket(F)	ADJU	OC-	put_inside	-down.M	tie	OC-	COMIT-	AUX.M	tie	OC-	COMIT-	AUX.M	3SG.REFL.M	3SG.REFL.M	damage	-NEG	-FP.N.M	-REP.M	-DECL.M,"It put him in the basket, and tied him in. He didn't make a fuss.",,WORD_ALIGNED
a21,Hiwa katomare wete hikanematamonaka.,hiwa	katoma	-re	wete	hi-	ka-	na	-himata	-mona	-ka,3SG.REFL.M	damage	-NEG.M	tie	OC-	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M,"He didn't make a fuss, and it tied him in.",,WORD_ALIGNED
a22,"Wete hikane, Oof, haa, koro okofimataba.",wete	hi-	ka-	ne	oof	haa	koro	o-	ka-	-fi	-mata	-ba,tie	OC-	COMIT-	AUX.M	hoo	(expression_of_exhaustion)	throw	1SG.S-	COMIT-	-water	-short_time	-IMMED.M,"It tied him in. ""Whew, I'm going to throw him in the water.""",,WORD_ALIGNED
a23,Tokomisematamona wasina ya ahi.,to-	ka	-misa	-himata	-mona	wasina	ya	ahi,away-	go	-up	-FP.N.M	-REP.M	kapok(F)	ADJU	then,It went up into the kapok tree.,,WORD_ALIGNED
a24,"Wasina wa ya tokomise, tokomise Ho-o, ho-o, ho-o, ho-o, ho-o, ho-o weye hikanematamona tati ya.",wasina	waa	ya	to-	ka	-mise	to-	ka	-mise	weye	hi-	ka-	na	-himata	-mona	tati	ya,kapok(F)	stand.F	ADJU	away-	go	-up.M	away-	go	-up.M	carry	OC-	COMIT-	AUX	-FP.N.M	-REP.M	head	ADJU,"It went up the kapok tree. It went up. ""Ho-o, ho-o, ho-o."" It was carrying him attached by its head.",,WORD_ALIGNED
a25,"Weye hikane, kobo hikamise wasina ini batori ya, tokomisawawite fa fa kaya nemetemoneke ahi.",weye	hi-	ka-	ne	kobo	hi-	ka-	-mise	wasina	ini	batori	ya	to-	ka	-misa	-waha	-wite	faha	faha	kaya	na	-hemete	-mone	-ke	ahi,carry	OC-	COMIT-	AUX.M	arrive	OC-	COMIT-	-up.M	kapok(F)	branch.F	junction	ADJU	away-	go	-up	-change	-out	water(F)	water(F)	stand	AUX	-FP.N.F	-REP.F	-DECL.F	there,"It carried him. It arrived up high with him. At the place where there was a branch in the kapok tree, it went around. There was a lake.",,WORD_ALIGNED
a26,"Fa kaya na wasina warebasa, wasina warebasa, tokomisawite bere hikawitematamonaka wasina mani yai tona mani bari ya.",faha	kaya	na	wasina	waa	-re	-basa	wasina	waa	-ri	-basa	to-	ka	-misa	-witi	bere	hi-	ka-	-wite	-himata	-mona	-ka	wasina	mani	yai	to-	na	mani	bari	ya,water(F)	stand	AUX.F	kapok(F)	stand	-raised_surface	-edge.F	kapok(F)	stand	-raised_surface	-edge.F	away-	go	-up	-out	be_across	OC-	COMIT-	-out	-FP.N.M	-REP.M	-DECL.M	kapok(F)	branch.F	be_straight	CH-	AUX.F	branch.F	outer_surface	ADJU,"The kapok tree was on the edge of a lake. It went up the kapok tree, and took him out along a straight limb of the kapok tree, on top of the limb.",,WORD_ALIGNED
a27,"Weye kani hike, weye kani hikematamonaka.",weye	ka-	ni	hi-	ke	weye	ka-	ni	hi-	ka	-himata	-mona	-ka,carry	COMIT-	AUX.NFIN	OC-	go.M	carry	COMIT-	AUX.NFIN	OC-	go	-FP.N.M	-REP.M	-DECL.M,It went carrying him in the basket.,"The reason the O-construction prefix hi- occurs on the intransitive verb toka is that there is control, and the hi- is transferred from the subordinate clause to the matrix clause (cf. Vogel 2015:42f).",WORD_ALIGNED
a28,"Weye kani hike, Hima, koro okofimataba.",weye	ka-	ni	hi-	ke	hima	koro	o-	ka-	-fi	-mata	-ba,carry	COMIT-	AUX.NFIN	OC-	go.M	let's_go	throw	1SG.S-	COMIT-	-water	-short_time	-IMMED.M,"It went carrying him in the basket. ""All right, I will throw him in the water with the basket.""",,WORD_ALIGNED
a29,Wene hikanematamonaka ahi.,wene	hi-	ka-	na	-himata	-mona	-ka	ahi,wag	OC-	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M	then,It swung him back and forth.,,WORD_ALIGNED
a30,"Wene hikane, Koro, fa bai kabokebona, isss sssss towakamematamonaka ahi.",wene	hi-	ka-	ne	koro	faha	bai	ka-	boka	-hibona	to-	ka-	ka	-ma	-himata	-mona	-ka	ahi,wag	OC-	COMIT-	AUX.M	(sound_of_something_being_thrown)	water(F)	middle	COMIT-	enter_water	-INT.M	away-	COMIT-	go	-back	-FP.N.M	-REP.M	-DECL.M	then,"It swung him back and forth, and threw him. Instead of landing in the water, he went back.",,WORD_ALIGNED
a31,"Towakame, tihi tokaname, Omm, kabokebona one, hiba.",to-	ka-	ka	-me	tihi	to-	ka-	na	-me	ka-	boka	-hibona	o-	ne	hiba,away-	COMIT-	go	-back.M	hit	away-	COMIT-	AUX	-back.M	COMIT-	enter_water	-INT.M	1SG.S-	say.M	wait,"He went back, and landed there. ""Humph, I wanted him to go in the water, wait.""",,WORD_ALIGNED
a32,Kisamake kisamake warewame yama hoti howa toni ya sonehimatamonaka ahi karii beo.,ka	-risa	-make	ka	-risa	-make	waa	-re	-waha	-me	yama	hoti	howa	to-	ni	ya	sona	-himata	-mona	-ka	ahi	karii	beo,come	-down	-following	come	-down	-following	stand	-raised_surface	-change	-back.M	thing(F)	hole.F	be_open	CH-	AUX.NOM.F	ADJU	fall	-FP.N.M	-REP.M	-DECL.M	then	(sound_of_going_down)	(sound_of_hitting_ground),"It went down. It came back on the branch. It went down through an open place in the branches, karii, beo.",,WORD_ALIGNED
a33,"Faya hiwakitimake, hiwakitimakematamonaka.",faya	hi-	ka-	iti	-make	hi-	ka-	iti	-make	-himata	-mona	-ka,so	OC-	COMIT-	pick_up	-following	OC-	COMIT-	take_out	-following	-FP.N.M	-REP.M	-DECL.M,It got him again.,,WORD_ALIGNED
a34,"Hiwakitimake, hiwakitimake, Hee.",hi-	ka-	iti	-make	hi-	ka-	iti	-make	hee,OC-	COMIT-	pick_up	-following	OC-	COMIT-	pick_up	-following	hey,"It got him again. ""Help.""",,WORD_ALIGNED
a35,Oo ha rima tinahi.,oo	haa	rima	ti-	na	-hi,oh_no	call	NEG.IMP.F	2SG.S-	AUX	-IMP.F,"""Hey, don't call.""",,WORD_ALIGNED
a36,"Yama abara awineni, hee.",yama	ahaba	-ra	awine	-ni	hee,thing(F)	end	-NEG.F	seem.F	-BKG.F	hey,"""There is no one to help me, help.""",,WORD_ALIGNED
a37,Mitarama ni ha ne ha ni kasiromona ha ni kasiromonamako noko mi hinematamonaka ahi.,mita	-rama	ni	haa	ne	haa	ni	kasiro	-himona	haa	ni	kasiro	-mona	-mako	noko	mii	hi-	na	-himata	-mona	-ka	ahi,hear	-unusual	AUX.NFIN	call	AUX.M	call	AUX.NFIN	persist	-REP.M	call	AUX.NFIN	persist	-REP.M	-for_this_reason.M	face.M	defecate_on	OC-	AUX	-FP.N.M	-REP.M	-DECL.M	then,"But he kept on calling out. Because he stubbornly kept on calling out, it defecated on his face.",,WORD_ALIGNED
a38,Noko iyo kowewe kihakiha.,noko	iyo	kowewe	kiha-	kiha,face.M	feces(F)	diarrhea(F)	DUP	have,His face had diarrhea on it.,,WORD_ALIGNED
a39,Noko iyo kihematamona.,noko	iyo	kiha	-himata	-mona,face.M	feces(F)	have	-FP.N.M	-REP.M,His face had feces on it.,,WORD_ALIGNED
a40,"Noko mi hine, noko mi hine hiwakimisamatasematamona.",noko	mii	hi-	ne	noko	mii	hi-	ne	hi-	ka-	ka	-misa	-ma	-tasa	-himata	-mona,face.M	defecate_on	OC-	AUX.M	face.M	defecate_on	OC-	AUX.M	OC-	COMIT-	go	-up	-back	-again	-FP.N.M	-REP.M,It defecated on his face. It took him back up in the basket.,,WORD_ALIGNED
a41,"Hiwakimisamatase, hiwakimisamematamona.",hi-	ka-	ka	-misa	-ma	-tase	hi-	ka-	ka	-misa	-ma	-himata	-mona,OC-	COMIT-	go	-up	-back	-again.M	OC-	COMIT-	go	-up	-back	-FP.N.M	-REP.M,It took him back up in the basket.,,WORD_ALIGNED
a42,"Hiwakimisame Ho-o ho-o, ho-o, ho-o ati tokomisamematamona.",hi-	ka-	ka	-misa	-me	ati	to-	ka	-misa	-ma	-himata	-mona,OC-	COMIT-	go	-up	-back.M	voice	away-	go	-up	-back	-FP.N.M	-REP.M,"It took him back up. ""Ho-o, ho-o, ho-o, ho-o."" Its voice could be heard as it went back up.","The pronunciation hiwakimisame is an archaism, younger Jarawaras say [heekimisame]. That is, the younger speakers apply a morphophonological rule that Siko does not apply (Dixon 2004:37). See also hiwakame in sentence (99).",WORD_ALIGNED
a43,"Ati tokomisame ati tokomisame, ati tokomisame bori tomisame Oof.",ati	to-	ka	-misa	-me	ati	to-	ka	-misa	-me	ati	to-	ka	-misa	-me	bori	to-	-misa	-me	oof,voice	away-	go	-up	-back.M	voice	away-	go	-up	-back.M	voice	away-	go	-up	-back.M	get_close	away-	-up	-back.M	hoo,"Its voice could be heard as it went back up. It was close. ""Whew.""",,WORD_ALIGNED
a44,Weye kani forima hine bere hikawitematamonaka.,weye	ka-	ni	forima	hi-	ne	bere	hi-	ka-	-wite	-himata	-mona	-ka,carry	COMIT-	AUX.NFIN	do_properly	OC-	AUX.M	be_across	OC-	COMIT-	-out	-FP.N.M	-REP.M	-DECL.M,It straightened the basket so it would not fall. It went along the limb with him.,,WORD_ALIGNED
a45,"Bere hikawite, bere hikawitematamonaka.",bere	hi-	ka-	-wite	bere	hi-	ka-	-wite	-himata	-mona	-ka,be_across	OC-	COMIT-	-out	be_across	OC-	COMIT-	-out	-FP.N.M	-REP.M	-DECL.M,It went along the limb with him.,,WORD_ALIGNED
a46,Bere hikawite wati hikane tawi hikanematamonaka.,bere	hi-	ka-	-wite	wati	hi-	ka-	ne	tawi	hi-	ka-	na	-himata	-mona	-ka,be_across	OC-	COMIT-	-out	plan_against	OC-	COMIT-	AUX.M	spin	OC-	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M,It went along the limb with him. It planned against him. It swung him back and forth.,,WORD_ALIGNED
a47,"Tawi hikane, koro.",tawi	hi-	ka-	ne	koro,spin	OC-	COMIT-	AUX.M	(sound_of_something_being_thrown),"It swung him back and forth, and threw him.",,WORD_ALIGNED
a48,"Faya, towakematamonaka ahi kabokabakani.",faya	to-	ka-	ka	-himata	-mona	-ka	ahi	ka-	boka	-ba	-kani,so	away-	COMIT-	go	-FP.N.M	-REP.M	-DECL.M	then	COMIT-	enter_water	-FUT	-CNTRFACT,"But he went back, even though the monster thought he was going to go in the water.",,WORD_ALIGNED
a49,Fa fa baki yokana iss sss towakame tihi tokanamematamonaka.,faha	faha	baki	yokana	to-	ka-	ka	-me	tihi	to-	ka-	na	-ma	-himata	-mona	-ka,water(F)	water(F)	inside_surface.F	true	away-	COMIT-	go	-back.M	hit	away-	COMIT-	AUX	-back	-FP.N.M	-REP.M	-DECL.M,He almost touched the surface of the water as he went back. He landed back there.,,WORD_ALIGNED
a50,"Aa, kabokebona one, kabokebona one, kakasi raba reba ama narani, faha ihi toehibona onahari.",aa	ka-	boka	-hibona	o-	ne	ka-	boka	-hibona	o-	ne	ka-	kasi	raba	ra	-hiba	ama	na	-rani	faha	ihi	to-	ha	-hibona	o-	na	-haari,(expression_of_displeasure)	COMIT-	enter_water	-INT.M	1SG.S-	say.M	COMIT-	enter_water	-INT.M	1SG.S-	say.M	DUP-	be_naughty	a_bit	NEG	-FUT.M	SEC	AUX.M	-?	water(F)	victim_of.F	CH-	be	-INT.M	1SG.S-	say	-IP.E.M,"""Aa, I wanted him to go in the water. He is naughty. I wanted him to drown.""",,WORD_ALIGNED
a51,Bere name bere name sonematamonaka ahi.,bere	na	-me	bere	na	-me	sona	-himata	-mona	-ka	ahi,be_across	AUX	-back.M	be_across	AUX	-back.M	fall	-FP.N.M	-REP.M	-DECL.M	then,"It came back on the limb, and went down.",,WORD_ALIGNED
a52,Sonematamonaka ahi baasa beo.,sona	-himata	-mona	-ka	ahi	baasa	beo,fall	-FP.N.M	-REP.M	-DECL.M	then	(sound_of_hitting_leaves)	(sound_of_hitting_ground),"It went down, baasa, beo.",,WORD_ALIGNED
a53,Faya ha ne Ha nareka.,faya	haa	ne	haa	na	-hare	-ka,so	call	AUX.M	call	AUX	-IP.E.M	-DECL.M,"He called out. ""He is calling out.""",,WORD_ALIGNED
a54,"Yama abara awineni, hee.",yama	ahaba	-ra	awine	-ni	hee,thing(F)	die	-NEG.F	seem.F	-BKG.F	hey,"""There is no one to help me, help.""",,WORD_ALIGNED
a55,Ha rima tinahi.,haa	rima	ti-	na	-hi,call	NEG.IMP.F	2SG.S-	AUX	-IMP.F,"""Don't call out.""",,WORD_ALIGNED
a56,"Hiwakitimake, noko mi hinemata.",hi-	ka-	iti	-make	noko	mii	hi-	na	-himata,OC-	COMIT-	pick_up	-following	face.M	defecate_on	OC-	AUX	-FP.N.M,It came and got him. It defecated on his face.,,WORD_ALIGNED
a57,Ha ni kasiromona noko mi hinematamonaka ahi iyo kowewe ya.,haa	ni	kasiro	-himona	noko	mii	hi-	na	-himata	-mona	-ka	ahi	iyo	kowewe	ya,call	AUX.NFIN	persist	-REP.M	face.M	defecate_on	OC-	AUX	-FP.N.M	-REP.M	-DECL.M	then	feces(F)	diarrhea(F)	ADJU,"Because he said he wouldn't stop calling out, it defecated diarrhea on his face.",,WORD_ALIGNED
a58,"Faya noko mi hine, noko mi hine hiwakimisame, Oof, hoo hiba kabokaba nena.",faya	noko	mii	hi-	ne	noko	mii	hi-	ne	hi-	ka-	ka	-misa	-me	oof	hoo	hiba	ka-	boka	-ba	na	-hina,so	face.M	defecate_on	OC-	AUX.M	face.M	defecate_on	OC-	AUX.M	OC-	COMIT-	go	-up	-back.M	hoo	humph	wait	COMIT-	enter_water.M	-FUT	AUX	-IRR.M,"It defecated on his face. It took him back up. ""Oof, hoo, he should have gone into the water.""",,WORD_ALIGNED
a59,Hiwa aawa re.,hiwa	a-	awa	re,3SG.REFL.M	DUP-	see	NEG.M,"""Why didn't he?""",,WORD_ALIGNED
a60,Hiyamata hiri nahi?,hiyamata	hiri	nahi,what?	do	AUX.M,"""What did he do?""",,WORD_ALIGNED
a61,Hiwakimisamematamona fahi.,hi-	ka-	ka	-misa	-ma	-himata	-mona	fahi,OC-	COMIT-	go	-up	-back	-FP.N.M	-REP.M	then,It took him back up.,,WORD_ALIGNED
a62,"Hiwakimisame, hiwakimisame, tokomisamematamona.",hi-	ka-	ka	-misa	-me	hi-	ka-	ka	-misa	-me	to-	ka	-misa	-ma	-himata	-mona,OC-	COMIT-	go	-up	-back.M	OC-	COMIT-	go	-up	-back.M	away-	go	-up	-back	-FP.N.M	-REP.M,It took him back up. It went back up.,,WORD_ALIGNED
a63,"Tokomisama tokomisame ya, tokomisama tokomisame ya bori tomisama, faya bere hikawitemata fahi.",to-	ka	-misa	-ma	to-	ka	-misa	-me	ya	to-	ka	-misa	-ma	to-	ka	-misa	-me	ya	bori	to-	-misa	-ma	faya	bere	hi-	ka-	-wite	-himata	fahi,away-	go	-up	-back.LIST	away-	go	-up	-back.NOM.M	ADJU	away-	go	-up	-back.LIST	away-	go	-up	-back.NOM.M	ADJU	get_close	away-	-up	-back.LIST	so	be_across	OC-	COMIT-	-out	-FP.N.M	then,It went back up. It got close to the top. Then it took him out on the limb.,,WORD_ALIGNED
a64,"Bere hikanamatase, bere hikaname kobo tokaname ya tawi hikanematamonaka ahi.",bere	hi-	ka-	na	-ma	-tase	bere	hi-	ka-	na	-me	kobo	to-	ka-	na	-me	ya	tawi	hi-	ka-	na	-himata	-mona	-ka	ahi,be_across	OC-	COMIT-	AUX	-back	-again.M	be_across	OC-	COMIT-	AUX	-back.M	arrive	away-	COMIT-	AUX	-back.NOM.M	ADJU	spin	OC-	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M	then,"It took him out on the limb again. When it arrived, it swung him back and forth.",,WORD_ALIGNED
a65,Tawi hikanematamona.,tawi	hi-	ka-	na	-himata	-mona,spin	OC-	COMIT-	AUX	-FP.N.M	-REP.M,It swung him back and forth.,,WORD_ALIGNED
a66,"Tawi hikane, koro towake, towake kabokebona towakamatasematamonaka ahi sissss sssi.",tawi	hi-	ka-	ne	koro	to-	ka-	ke	to-	ka-	ke	ka-	boka	-hibona	to-	ka-	ka	-ma	-tasa	-himata	-mona	-ka	ahi,spin	OC-	COMIT-	AUX.M	(sound_of_something_being_thrown)	away-	COMIT-	go.M	away-	COMIT-	go.M	COMIT-	enter_water	-INT.M	away-	COMIT-	go	-back	-again	-FP.N.M	-REP.M	-DECL.M	then,"It swung him back and forth. Koro, he went out. He didn't fall in the water, but went along the surface, sissss, sssi.",,WORD_ALIGNED
a67,Fara fara wasina wai ya totokowitamematamonaha.,fara	fara	wasina	wai	ya	to-	to-	ka-	ita	-ma	-himata	-mona	-ha,same.F	same.F	kapok(F)	stand.NOM	ADJU	DUP-	away-	COMIT-	sit	-back	-FP.N.M	-REP.M	-DUP,He landed and sat again where the kapok tree was.,,WORD_ALIGNED
a68,"Aa, kakasi raba nahare.",aa	ka-	kasi	raba	na	-hare,(expression_of_displeasure)	DUP-	be_naughty	a_bit	AUX	-NEG.M,"""Aa, there he goes again.""",,WORD_ALIGNED
a69,Kame bere name sonatasematamonaka fahi.,ka	-me	bere	na	-me	sona	-tasa	-himata	-mona	-ka	fahi,come	-back.M	be_across	AUX	-back.M	fall	-again	-FP.N.M	-REP.M	-DECL.M	then,"It came back along the branch again, and came down again.",,WORD_ALIGNED
a70,"Sone, me inamati narabi hawihani, me me inamati inamati narabo hawihino me me famemetemoneke me narabi hawihani mati.",sone	me_inamati	narabi	hawi	-hani	me	me_inamati	inamati	narabo	hawi	-hino	me	me	fama	-hemete	-mone	-ke	me	narabi	hawi	-hani	mati,fall.M	spirits(F)	ear.F	work	-IP.N.F	3PL	spirits(F)	spirit(M)	ear.M	work	-IP.N.M	3PL	3PL.S	be_two	-FP.N.F	-REP.F	-DECL.F	3PL.POSS	ear.F	work	-IP.N.F	3PL.POSS,It came down. The spirits heard something. The spirit heard something. There were two of them that heard something.,,WORD_ALIGNED
a71,Inamati ama narani one ha ne inamati were kanareka owahari.,inamati	ama	na	-rani	o-	ne	haa	ne	inamati	were	ka-	na	-hare	-ka	o-	awa	-haari,someone(M)	be	AUX.M	-?	1SG.S-	say.M	call	AUX.M	spirit(M)	throw	COMIT-	AUX	-IP.E.M	-DECL.M	1SG.S-	see	-IP.E.M,"""The monster threw someone in something who was calling, I saw him.""",,WORD_ALIGNED
a72,Hari hiwakimisamatase.,haari	hi-	ka-	ka	-misa	-ma	-tase,that_one.M	OC-	COMIT-	go	-up	-back	-again.M,"""There, it took him up again.""",,WORD_ALIGNED
a73,Hibare mata awaraba timata mata.,hibare	mata	awaraba	ti-	-mata	mata,wait	for_now	leave_something_alone	2SG.S-	-short_time	for_now,"""Wait, don't do anything yet.""",,WORD_ALIGNED
a74,E kakatomamata.,ee	ka-	katoma	-mata,1IN.S	COMIT-	look_at	-short_time,"""Let's watch him.""",,WORD_ALIGNED
a75,"Faya bere hikaname, bere hikaname Tekatoma.",faya	bere	hi-	ka-	na	-me	bere	hi-	ka-	na	-me	ti-	ka-	katoma,so	be_across	OC-	COMIT-	AUX	-back.M	be_across	OC-	COMIT-	AUX	-back.M	2SG.S-	COMIT-	look_at,"It took him out on the limb. ""Look at him.""",,WORD_ALIGNED
a76,Faya koro hikanamatasematamonaka ahi.,faya	koro	hi-	ka-	na	-ma	-tasa	-himata	-mona	-ka	ahi,so	throw	OC-	COMIT-	AUX	-back	-again	-FP.N.M	-REP.M	-DECL.M	then,It threw him again.,,WORD_ALIGNED
a77,Koro hikaname kabokebona kakamatasematamonaka ahi isissss.,koro	hi-	ka-	na	-me	ka-	boka	-hibona	ka-	ka	-ma	-tasa	-himata	-mona	-ka	ahi,throw	OC-	COMIT-	AUX	-back.M	COMIT-	enter_water	-INT.M	DUP-	come	-back	-again	-FP.N.M	-REP.M	-DECL.M	then,"It threw him. He didn't fall into the water, but went back again, isissss.",,WORD_ALIGNED
a78,Tihi tokanama tihi tokaname ya Owati tikasawariara tini.,tihi	to-	ka-	na	-ma	tihi	to-	ka-	na	-me	ya	o-	ati	ti-	ka-	sawari	-hara	ti-	ni,hit	away-	COMIT-	AUX	-back.LIST	hit	away-	COMIT-	AUX	-back.NOM.M	ADJU	1SG.POSS-	voice	2SG.S-	COMIT-	frustrate	-IP.E.F	2SG.S-	BKG.F,"He landed upright. ""I told you.""",,WORD_ALIGNED
a79,"Inamati, inamati were kane amane, hiba.",inamati	inamati	were	ka-	ne	ama	-ne	hiba,someone(M)	spirit(M)	throw	COMIT-	AUX.M	SEC	-BKG.M	wait,"""The monster threw someone in something.""",,WORD_ALIGNED
a80,Bao nisematamona.,bao	na	-risa	-himata	-mona,come_down	AUX	-down	-FP.N.M	-REP.M,It jumped down.,,WORD_ALIGNED
